MECID,Committee Name,Report,Report Year,Report Type,Previous Receipts,Contributions Received,Loans Received, Misc. Receipts, Receipts Subtotal,In-Kind Contributions, Total Receipts This Election,Previous Expenditures,Cash or Check Expenditures,In-Kind Expenditures,Credit Expenditures,Expenditure Subtotal,Total Expenditures,Previous Contributions,Cash/Check Contributions,Credit Contributions,In-Kind Contributions,Contribution Subtotal,Total Contributions,Loan Disbursements,Disbursements Payments,Misc. Disbursements,Total Disbursements,Starting Money on Hand, Monetary Receipts,Check Disbursements,Cash Disbursements,Total Monetary Disbursements,Ending Money on Hand,Outstanding Indebtedness,Loans Recieved,New Expenditures,New Contributions,Payments Made on Loan,Debt Forgiven on Loans,Total Indebtendness
"A101334","FRIENDS OF DENNIS THORNSBERRY POLITICAL CAMPAIGN COMMITTEE","Termination","2011","Full Disclosure","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","500.0000","0.0000","0.0000","500.0000","500.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","577.0200","577.0200","1077.0200","0.0000","500.0000","0.0000","1077.0200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000959","MO LIBERTARIAN PARTY","January Quarterly Report","2011","Full Disclosure","12252.7800","923.9000","0.0000","0.0000","923.9000","0.0000","13176.6800","19023.3000","3070.5900","0.0000","0.0000","3070.5900","22093.8900","0.0000","0.0000","0.0000","2309.7900","2309.7900","2309.7900","0.0000","0.0000","0.0000","0.0000","18865.7200","923.9000","3070.5900","0.0000","3070.5900","16719.0300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C101363","KANSAS CITY COLLEGE REPUBLICANS","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C031226","DOUGLAS COUNTY DEMOCRATIC CENTRAL COMMITTEE","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"c041567","0146TH MISSOURI LEGISLATIVE DISTRICT REPUBLICAN COMMITTEE","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"c000228","REPUBLICAN CENTRAL COMMITTEE LACLEDE COUNTY","January Quarterly Report","2011","Full Disclosure","0.0000","1350.3100","0.0000","0.0000","1350.3100","0.0000","1350.3100","0.0000","1809.2300","0.0000","0.0000","1809.2300","1809.2300","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1047.9400","1350.3100","1809.2300","0.0000","1809.2300","589.0200","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"A101201","DUDENHOEFFER FOR PRESIDING COMMISSIONER","Termination","2011","Full Disclosure","6530.0000","0.0000","0.0000","0.0000","0.0000","0.0000","6530.0000","6206.0900","10.0000","0.0000","0.0000","10.0000","6216.0900","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","293.9100","0.0000","0.0000","10.0000","10.0000","283.9100","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C091167","CITIZENS TO ELECT BEN HARRIS","AMENDED January Quarterly Report","2011","Full Disclosure","0.0000","1000.0000","0.0000","0.0000","1000.0000","0.0000","1000.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2592.6100","1000.0000","0.0000","0.0000","0.0000","3592.6100","7500.0000","0.0000","0.0000","0.0000","0.0000","0.0000","7500.0000"
"C000702","MID MISSOURI DEMOCRAT CLUB","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"C000995","GASCONADE CO REPUBLICAN CENTRAL COMMITTEE","January Quarterly Report - Limited Activity","2011","Limited Activity","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
