mecid,committee_name_x,candidate_name,party,office_sought,status,committee_name_y,report,report_year,report_type,previous_receipts,contributions_received,loans_received,misc_receipts,receipts_subtotal,in_kind_contributions,total_receipts_this_election,previous_expenditures,cash_or_check_expenditures,in_kind_expenditures,credit_expenditures,expenditure_subtotal,total_expenditures,previous_contributions,cash_check_contributions,credit_contributions,in_kind_contributions1,contribution_subtotal,total_contributions,loan_disbursements,disbursements_payments,misc_disbursements,total_disbursements,starting_money_on_hand,monetary_receipts,check_disbursements,cash_disbursements,total_monetary_disbursements,ending_money_on_hand,outstanding_indebtedness,loans_recieved,new_expenditures,new_contributions,payments_made_on_loan,debt_forgiven_on_loans,total_indebtendness
C141273,Friends For Jered Taylor,Jered Taylor,R,State Representative - District 139 - Missouri House of Representatives,A,Friends For Jered Taylor,October Quarterly Report,2020,Full Disclosure,9176.42,800.0,0.0,0.0,800.0,0.0,9976.42,10667.59,222.58,0.0,0.0,222.58,10890.17,1330.0,0.0,0.0,0.0,0.0,1330.0,0.0,0.0,0.0,0.0,1533.57,800.0,222.58,0.0,222.58,2110.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201180,Ashley Aune for Missouri,Ashley Aune,D,State Representative - District 14 - Missouri House of Representatives,A,Ashley Aune for Missouri,October Quarterly Report,2020,Full Disclosure,34344.43,34476.72,0.0,0.0,34613.08,136.36,68957.51,6424.49,10830.26,0.0,0.0,10830.26,17254.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,23099.94,34476.72,11830.26,0.0,11830.26,45746.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201309,Friends for Eric Holmes,Eric Holmes,R,State Representative - District 14 - Missouri House of Representatives,A,Friends for Eric Holmes,October Quarterly Report,2020,Full Disclosure,13724.85,7370.0,0.0,0.0,7459.47,89.47,21184.32,49.44,2042.39,0.0,0.0,2042.39,2091.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12775.56,7370.0,2035.39,7.0,2042.39,18103.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C201323,Citizens For Derges,Tricia Derges,R,State Representative - District 140 - Missouri House of Representatives,A,Citizens For Derges,October Quarterly Report,2020,Full Disclosure,14422.25,3600.0,0.0,2.37,3624.58,22.21,18046.83,14422.25,439.5,0.0,0.0,439.5,14861.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3602.37,428.56,10.94,439.5,3162.87,13022.25,0.0,0.0,0.0,0.0,0.0,13022.25
C151179,Friends Of Hannah Kelly,Hannah Kelly,R,State Representative - District 141 - Missouri House of Representatives,A,Friends Of Hannah Kelly,October Quarterly Report,2020,Full Disclosure,0.0,10746.0,0.0,0.0,10746.0,0.0,10746.0,0.0,2523.37,0.0,0.0,2523.37,2523.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7410.0,10746.0,2523.37,0.0,2523.37,15632.63,3500.0,0.0,0.0,0.0,0.0,0.0,3500.0
C190949,Bennie Cook for State Representative,Bennie Cook,R,State Representative - District 142 - Missouri House of Representatives,A,Bennie Cook for State Representative,October Quarterly Report,2020,Full Disclosure,16131.8,1500.0,700.0,0.0,2222.21,22.21,18354.01,15558.6,1588.95,0.0,0.0,1588.95,17147.55,0.0,0.0,0.0,0.0,0.0,0.0,245.06,0.0,0.0,245.06,3814.48,2200.0,1834.01,0.0,1834.01,4180.47,923.71,700.0,0.0,0.0,245.06,0.0,1378.65
C201166,Citizens for Ron Copeland,Ronald Copeland,R,State Representative - District 143 - Missouri House of Representatives,A,Citizens for Ron Copeland,October Quarterly Report,2020,Full Disclosure,29307.25,2300.0,0.0,0.0,2322.21,22.21,31629.46,28950.63,395.04,0.0,0.0,395.04,29345.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.62,2300.0,395.04,0.0,395.04,1941.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C171124,Friends For Chris Dodson Dinkins,Chris Dinkins,R,State Representative - District 144 - Missouri House of Representatives,A,Friends For Chris Dodson Dinkins,October Quarterly Report,2020,Full Disclosure,4291.0,1750.0,0.0,0.0,1750.0,0.0,6041.0,2400.0,2632.54,0.0,0.0,2632.54,5032.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13765.56,1750.0,2632.54,0.0,2632.54,12883.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C161035,FRIENDS FOR FRANCIS,RICK FRANCIS,R,State Representative - District 145 - Missouri House of Representatives,A,FRIENDS FOR FRANCIS,October Quarterly Report,2020,Full Disclosure,10274.55,15150.0,0.0,0.0,15150.0,0.0,25424.55,42428.35,4394.17,0.0,0.0,4394.17,46822.52,8900.0,0.0,0.0,0.0,0.0,8900.0,619.92,0.0,0.0,619.92,40139.23,15150.0,5014.09,0.0,5014.09,50275.14,619.92,0.0,0.0,0.0,619.92,0.0,0.0
C171393,Friends Of Barry Hovis,Barry Hovis,R,State Representative - District 146 - Missouri House of Representatives,A,Friends Of Barry Hovis,October Quarterly Report,2020,Full Disclosure,5782.32,0.0,0.0,0.0,0.0,0.0,5782.32,975.25,399.81,0.0,0.0,399.81,1375.06,2300.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.0,0.0,0.0,3805.53,0.0,399.81,0.0,399.81,3405.72,25350.0,0.0,0.0,0.0,0.0,0.0,25350.0
